date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:01:28	13529/13529	---M-Z	200	added ('OK')	text/html	etag:W/%22672917c8-34d9%22	https://raped.lol/	C:/My%20Web%20Sites/raped/raped.lol/index.html	(from )
23:01:28	31078/31078	---M-Z	200	added ('OK')	text/html	etag:W/%22672917c8-b87c%22	https://raped.lol/robots.txt		(from )
23:01:28	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://raped.lol/GET	C:/My%20Web%20Sites/raped/raped.lol/GET	(from https://raped.lol/)
23:01:28	5270/5270	---M-Z	200	added ('OK')	text/css	etag:W/%22672917c8-1496%22	https://raped.lol/assets/cosmo.css	C:/My%20Web%20Sites/raped/raped.lol/assets/cosmo.css	(from https://raped.lol/)
23:01:28	1330/1330	---M-Z	200	added ('OK')	text/css	etag:W/%22672917c8-532%22	https://raped.lol/assets/anim.css	C:/My%20Web%20Sites/raped/raped.lol/assets/anim.css	(from https://raped.lol/)
23:01:28	6248/6248	---M-Z	200	added ('OK')	text/css	etag:W/%22672917c8-1868%22	https://raped.lol/assets/style.css	C:/My%20Web%20Sites/raped/raped.lol/assets/style.css	(from https://raped.lol/)
23:01:29	324/324	---M-Z	200	added ('OK')	text/css	etag:W/%22672917c8-144%22	https://raped.lol/assets/cancel.css	C:/My%20Web%20Sites/raped/raped.lol/assets/cancel.css	(from https://raped.lol/)
23:01:29	0/0	---M--	200	added ('OK')	application/javascript	etag:%22672917c8-0%22	https://raped.lol/assets/routing.js	C:/My%20Web%20Sites/raped/raped.lol/assets/routing.js	(from https://raped.lol/)
23:01:29	185736/185736	---M--	200	added ('OK')	image/gif	etag:%22672917c8-2d588%22	https://raped.lol/assets/imageedit_2_7583773831.gif	C:/My%20Web%20Sites/raped/raped.lol/assets/imageedit_2_7583773831.gif	(from https://raped.lol/)
23:01:30	5945/5945	---M-Z	200	added ('OK')	text/html	etag:W/%22672917c8-1739%22	https://raped.lol/speculate.html	C:/My%20Web%20Sites/raped/raped.lol/speculate.html	(from https://raped.lol/)
23:01:30	22771/22771	---M--	200	added ('OK')	image/gif	date:Thu,%2030%20Jun%202022%2003:15:54%20GMT	https://i.ibb.co/D8vWbSn/sparkle.gif	C:/My%20Web%20Sites/raped/i.ibb.co/D8vWbSn/sparkle.gif	(from https://raped.lol/)
23:01:31	785/785	---M-Z	200	added ('OK')	application/javascript	etag:W/%22672917c8-311%22	https://raped.lol/assets/audio.js	C:/My%20Web%20Sites/raped/raped.lol/assets/audio.js	(from https://raped.lol/)
23:01:31	23613038/23613038	---M--	200	added ('OK')	video/mp4	etag:%22672917c8-1684e6e%22	https://raped.lol/assets/Comp_1_3.mp4	C:/My%20Web%20Sites/raped/raped.lol/assets/Comp_1_3.mp4	(from https://raped.lol/)
23:01:31	784/784	---M-Z	200	added ('OK')	application/javascript	etag:W/%22672917c8-310%22	https://raped.lol/assets/main-audio-unlock.js	C:/My%20Web%20Sites/raped/raped.lol/assets/main-audio-unlock.js	(from https://raped.lol/)
